variety,price_performace,,,
Portuguese Rosé,6.62672311348782,,,
Portuguese Sparkling,5.87954718383898,,,
Portuguese White,6.94282449079557,,,
Portuguiser,5.73333333333333,,,
Posip,3.5335085978836,,,
Poulsard,3.36761904761905,,,
Premsal,5.53333333333333,,,
Prieto Picudo,2.83545723120996,,,
Primitivo,4.15692899905442,,,
Prié Blanc,3.71391304347826,,,
Prosecco,4.85196661473822,,,
Provence red blend,3.36744861889622,,,
Provence white blend,4.09634784802615,,,
Prugnolo Gentile,3.10814092176865,,,
Prunelard,3.95652173913044,,,
Pugnitello,1.7891156462585,,,
Rabigato,3.36222222222222,,,
Raboso,4.45922172797365,,,
Ramisco,0.187878787878788,,,
Rara Neagra,5.15460526315789,,,
Rebo,3.5609022556391,,,
Rebula,3.9762962962963,,,
Red Blend,3.57706823806582,,,
Refosco,3.93624547479811,,,
Rhône-style Red Blend,3.46780284542963,,,
Rhône-style White Blend,3.64979996118276,,,
Ribolla Gialla,3.91632812479725,,,
Rieslaner,2.306379081911,,,
Riesling,4.16701582912303,,,
Riesling-Chardonnay,2.35,,,
Rivaner,5.34074074074074,,,
Rkatsiteli,4.63945953461076,,,
Robola,3.96136363636364,,,
Roditis,5.71264245014245,,,
Roditis-Moschofilero,8,,,
Rolle,4.10921052631579,,,
Romorantin,4.02777777777778,,,
Rosado,6.88815432393063,,,
Rosato,5.47849981722136,,,
Roscetto,N/A,,,
Rosenmuskateller,0.613333333333333,,,
Rosé,5.47672364135512,,,
Roter Traminer,2.8428014734691,,,
Roter Veltliner,2.82682795396611,,,
Rotgipfler,3.62723765295592,,,
Roussanne,3.43904058175533,,,
Roussanne-Grenache Blanc,5.6875,,,
Roussanne-Marsanne,2.8059527972028,,,
Roussanne-Viognier,3.05253671981613,,,
Roviello,3.32142857142857,,,
Ruché,3.71458610087642,,,
Rufete,3.16038961038961,,,
Ryzlink Rýnský,2.225,,,
Sacy,4.57894736842105,,,
Sagrantino,1.90607543513789,,,
Sangiovese,3.02252238250195,,,
Sangiovese Cabernet,1.93451704545455,,,
Sangiovese Grosso,1.79500472780658,,,
Sangiovese-Cabernet Sauvignon,3.2462822671156,,,
Sangiovese-Syrah,1.88757219251337,,,
Saperavi,4.80466227377992,,,
Saperavi-Merlot,4.97058823529412,,,
Sauvignon,3.93810654353804,,,
Sauvignon Blanc,5.10595364732385,,,
Sauvignon Blanc-Assyrtiko,4.6,,,
Sauvignon Blanc-Chardonnay,4.87334267040149,,,
Sauvignon Blanc-Chenin Blanc,5.70271915584416,,,
Sauvignon Blanc-Sauvignon Gris,,,,
Sauvignon Blanc-Semillon,3.80677585984522,,,
Sauvignon Blanc-Verdejo,7.03759157509158,,,
Sauvignon Gris,4.42515081369248,,,
Sauvignon Musqué,4.83333333333333,,,
Sauvignon-Sémillon,7.16666666666667,,,
Sauvignonasse,3.6,,,
Savagnin,2.64987979046044,,,
Savatiano,7.50993464052288,,,
Scheurebe,3.47516792913054,,,
Schiava,4.82999736194221,,,
Schwartzriesling,3.6,,,
Sciaccerellu,3.22222222222222,,,
Semillon-Chardonnay,7.86920168067227,,,
Semillon-Sauvignon Blanc,3.79896298558657,,,
Sercial,1.88,,,
Seyval Blanc,5.01766879748144,,,
Sherry,4.09395066696149,,,
Shiraz,4.07719936919142,,,
Shiraz-Cabernet,2.2821052631579,,,
Shiraz-Cabernet Sauvignon,5.75173198285298,,,
Shiraz-Grenache,4.15143524899975,,,
Shiraz-Malbec,5.05722222222222,,,
Shiraz-Mourvèdre,5.15959595959596,,,
Shiraz-Roussanne,3.10344827586207,,,
Shiraz-Tempranillo,9.91428571428571,,,
Shiraz-Viognier,3.32294715510471,,,
Sideritis,3.69565217391304,,,
Siegerrebe,5.6,,,
Silvaner,3.85266046692528,,,
Silvaner-Traminer,3.44,,,
Siria,6.43926073926074,,,
Sirica,4.02173913043478,,,
Sousão,2.690625,,,
Souzao,3.21296296296296,,,
Sparkling Blend,3.99868808458837,,,
Spätburgunder,2.06597341907444,,,
St. Laurent,3.7879854726276,,,
St. Vincent,3.54166666666667,,,
Susumaniello,3.55577777777778,,,
Sylvaner,4.32054344994518,,,
Symphony,7.32266081871345,,,
Syrah,3.00680986990011,,,
Syrah-Bonarda,6.69230769230769,,,
Syrah-Cabernet,4.43206150532237,,,
Syrah-Cabernet Franc,1.3468115942029,,,
Syrah-Cabernet Sauvignon,2.35955191332108,,,
Syrah-Carignan,4.23462823725982,,,
Syrah-Grenache,4.09619817589212,,,
Syrah-Grenache-Viognier,2,,,
Syrah-Malbec,6.35714285714286,,,
Syrah-Merlot,4.47766836196809,,,
Syrah-Mourvèdre,3.20385258752575,,,
Syrah-Petit Verdot,2.35374149659864,,,
Syrah-Petite Sirah,2.39777231047498,,,
Syrah-Tempranillo,2.58901098901099,,,
Syrah-Viognier,2.30020506692075,,,
Sämling,2.72739130434783,,,
Sémillon,4.17247540759856,,,
Tamianka,4.45,,,
Tamjanika,4.88888888888889,,,
Tannat,3.5408752279509,,,
Tannat-Cabernet,5.33796072844358,,,
Tannat-Cabernet Franc,5.07353581653853,,,
Tannat-Merlot,5.41168661395798,,,
Tannat-Syrah,7.0625,,,
Tempranillo,4.48308318127643,,,
Tempranillo Blanco,3.31245524627878,,,
Tempranillo Blend,3.88833188696585,,,
Tempranillo-Cabernet Sauvignon,5.52800253237562,,,
Tempranillo-Garnacha,7.4634363951,,,
Tempranillo-Malbec,N/A,,,
Tempranillo-Merlot,5.89717733247145,,,
Tempranillo-Shiraz,6.67291666666667,,,
Tempranillo-Syrah,5.39492753623188,,,
Tempranillo-Tannat,4.4,,,
Teran,3.71834243051634,,,
Teroldego,3.27756307300219,,,
Teroldego Rotaliano,5.73333333333333,,,
Terrantez,0.402542372881356,,,
Thrapsathiri,3.52,,,
Timorasso,2.52368421052632,,,
Tinta Amarela,3,,,
Tinta Barroca,4.25809143686502,,,
Tinta Cao,6.42857142857143,,,
Tinta Fina,2.98971924047159,,,
Tinta Francisca,2.01111111111111,,,
Tinta Madeira,1.97777777777778,,,
Tinta Miúda,5.20238095238095,,,
Tinta Negra Mole,0.821428571428571,,,
Tinta Roriz,4.45588910388717,,,
Tinta de Toro,3.57299690860464,,,
Tinta del Pais,2.00444444444444,,,
Tinta del Toro,4.51313131313131,,,
Tintilia ,3.48,,,
Tinto Fino,2.83218506667516,,,
Tinto Velasco,9.44444444444444,,,
Tinto del Pais,3.8502720725548,,,
Tocai,4.71025933942601,,,
Tocai Friulano,4.01339007666949,,,
Tokaji,2.46821419934163,,,
Tokay,3.63654546273834,,,
Tokay Pinot Gris,2.96666666666667,,,
Torbato,4.55,,,
Torontel,2.3,,,
Torrontés,6.62567098898998,,,
Touriga,1.95619967793881,,,
Touriga Franca,4.30768588137009,,,
Touriga Nacional,4.12073662602219,,,
Touriga Nacional Blend,5.049209385031,,,
Touriga Nacional-Cabernet Sauvignon,7.34590480088962,,,
Trajadura,12.2857142857143,,,
Traminer,4.66493742156559,,,
Traminette,5.66971001221001,,,
Trebbiano,4.90128470918287,,,
Trebbiano Spoletino,4.00909090909091,,,
Trebbiano di Lugana,3.28730158730159,,,
Treixadura,5.17777777777778,,,
Trepat,4.53296162647421,,,
Trincadeira,4.98705508672614,,,
Trollinger,4.20887445887446,,,
Trousseau,2.4673520463843,,,
Trousseau Gris,3.8582995951417,,,
Tsapournakos,3.33333333333333,,,
Tsolikouri,6.21428571428571,,,
Turbiana,4.05653937119868,,,
Tămâioasă Românească,8.075,,,
Ugni Blanc,3.35802469135802,,,
Ugni Blanc-Colombard,7.94517396184063,,,
Uva di Troia,4.17912457912458,,,
Uvalino,3.03448275862069,,,
Valdiguié,6.67833333333333,,,
Valvin Muscat,6.69230769230769,,,
Veltliner,3.22797619047619,,,
Verdeca,5.85318181818182,,,
Verdejo,6.02257767128964,,,
Verdejo-Sauvignon Blanc,8.68888888888889,,,
Verdejo-Viura,8.17129026276754,,,
Verdelho,5.49342142669854,,,
Verdicchio,4.76322000946926,,,
Verdil,4.77777777777778,,,
Verdosilla,4.94117647058824,,,
Verduzzo,3.04296296296296,,,
Verduzzo Friulano ,1.75717696707202,,,
Vermentino,4.46752161998288,,,
Vermentino Nero,1.95555555555556,,,
Vernaccia,5.16920789625882,,,
Vespaiolo,2.3,,,
Vespolina,3.52,,,
Vidadillo,3.70833333333333,,,
Vidal,3.02344521667102,,,
Vidal Blanc,3.45857541586872,,,
Vignoles,5.19063463545677,,,
Vilana,6.32484182484183,,,
Vinhão,4.07905982905983,,,
Viognier,4.09504945137223,,,
Viognier-Chardonnay,5.01134028611445,,,
Viognier-Gewürztraminer,5.73333333333333,,,
Viognier-Grenache Blanc,2.84418508143998,,,
Viognier-Marsanne,4.60819327731092,,,
Viognier-Roussanne,4.33020233734519,,,
Viognier-Valdiguié,4.94117647058824,,,
Viosinho,4.08193609022556,,,
Vital,,,,
Vitovska,2.01415174765558,,,
Viura,6.78498759929179,,,
Viura-Chardonnay,8.12914862914863,,,
Viura-Verdejo,7.1013986013986,,,
Vranac,7.81818181818182,,,
Vranec,5.54294871794872,,,
Weissburgunder,3.708097918589,,,
Welschriesling,3.85472401149406,,,
White Blend,4.94106433315251,,,
White Port,2.3,,,
White Riesling,6.66487649103034,,,
Xarel-lo,5.64264029273428,,,
Xinisteri,4.45,,,
Xinomavro,4.22608320671239,,,
Xynisteri,4.77529761904762,,,
Yapincak,4.81875,,,
Zelen,,,,
Zibibbo,2.72552683998262,,,
Zierfandler,3.10488247812164,,,
Zierfandler-Rotgipfler,3.8575,,,
Zinfandel,3.58323264004405,,,
Zlahtina,5.98076923076923,,,
Zweigelt,4.79043688526983,,,
Çalkarası,4.55263157894737,,,
Žilavka,5.86666666666667,,,
